,上映日期,分类,国家,导演演员,标题,简评,评分,评论人数
77,1997 , 剧情爱情同性, 香港日本韩国 ,导演:王家卫KarWaiWong   主演:张国荣LeslieCheung/梁朝伟TonyLeu,春光乍泄,爱情纠缠，男女一致。,8.8,271199人
78,2009 , 剧情动画, 澳大利亚 ,导演:亚当·艾略特AdamElliot   主演:托妮·科莱特ToniCollette/菲利,玛丽和马克思,你是我最好的朋友，你是我唯一的朋友 。,8.9,245037人
79,1961(中国大陆),1978(中国大陆),1964(中国大陆),导演:万籁鸣LaimingWan/唐澄ChengTang   主演:邱岳峰YuefengQiu/,大闹天宫,经典之作，历久弥新。,9.2,112116人
80,1997 , 剧情, 美国 ,导演:格斯·范·桑特GusVanSant   主演:马特·达蒙MattDamon/罗宾·,心灵捕手,人生中应该拥有这样的一段豁然开朗。,8.8,296346人
81,1987 , 剧情传记历史, 意大利中国大陆英国法国 ,导演:贝纳尔多·贝托鲁奇BernardoBertolucci   主演:尊龙JohnLone/陈,末代皇帝,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,8.9,190440人
82,1994 , 剧情, 中国大陆香港 ,导演:姜文WenJiang   主演:夏雨YuXia/宁静JingNing/陶虹HongTao,阳光灿烂的日子,一场华丽的意淫。,8.8,293353人
83,1997 , 动作爱情战争动画奇幻冒险, 日本 ,导演:宫崎骏HayaoMiyazaki   主演:松田洋治YôjiMatsuda/石田百合,幽灵公主,人与自然的战争史诗。,8.8,254981人
84,1999 , 剧情悬疑惊悚, 美国 ,导演:M·奈特·沙马兰M.NightShyamalan   主演:布鲁斯·威利斯BruceWi,第六感,深入内心的恐怖，出人意料的结局。,8.8,253383人
85,1994 , 剧情爱情, 香港 ,导演:王家卫KarWaiWong   主演:林青霞BrigitteLin/金城武TakeshiK,重庆森林,寂寞没有期限。,8.7,360289人
86,2010 , 剧情悬疑惊悚, 美国 ,导演:MartinScorsese   主演:莱昂纳多·迪卡普里奥LeonardoDiCaprio/,禁闭岛,昔日翩翩少年，今日大腹便便。,8.7,390878人
87,2014 , 剧情喜剧冒险, 美国德国英国 ,导演:韦斯·安德森WesAnderson   主演:拉尔夫·费因斯RalphFiennes/,布达佩斯大饭店,小清新的故事里注入了大历史的情怀。,8.8,347463人
88,2003 , 剧情家庭奇幻冒险, 美国 ,导演:蒂姆·波顿TimBurton   主演:伊万·麦克格雷格EwanMcGregor/阿,大鱼,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,8.7,272251人
89,2001 , 奇幻冒险, 美国英国 ,导演:ChrisColumbus   主演:DanielRadcliffe/EmmaWatson/RupertGrint,哈利·波特与魔法石,童话世界的开端。,8.7,285784人
90,2012 , 剧情, 丹麦瑞典 ,导演:托马斯·温特伯格ThomasVinterberg   主演:麦斯·米科尔森MadsMik,狩猎,人言可畏。,9.0,143048人
91,1993 , 喜剧古装, 香港 ,导演:刘镇伟JeffreyLau   主演:梁朝伟TonyLeungChiuWai/林青霞Bri,射雕英雄传之东成西就,百看不厌。 ,8.7,297569人
92,2003 , 剧情悬疑惊悚, 美国 ,导演:JamesMangold   主演:JohnCusack/RayLiotta/AmandaPeet,致命ID,最不可能的那个人永远是最可能的。,8.6,345200人
93,1996 , 剧情爱情, 香港 ,导演:陈可辛PeterChan   主演:黎明LeonLai/张曼玉MaggieCheung/,甜蜜蜜,相逢只要一瞬间，等待却像是一辈子。,8.8,248773人
94,2002 , 传记犯罪剧情, 美国加拿大 ,导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:莱昂纳多·迪卡普里奥L,猫鼠游戏,骗子大师和执著警探的你追我跑故事。 ,8.7,252685人
95,2005 , 剧情爱情同性家庭, 美国加拿大 ,导演:李安AngLee   主演:希斯·莱杰HeathLedger/杰克·吉伦哈尔Jake,断背山,每个人心中都有一座断背山。,8.6,345344人
96,2000 , 剧情爱情家庭, 台湾日本 ,导演:杨德昌EdwardYang   主演:吴念真/李凯莉KellyLee/金燕玲Elai,一一,我们都曾经是一一。,8.9,167344人
97,2010 , 剧情惊悚, 日本 ,导演:中岛哲也TetsuyaNakashima   主演:松隆子TakakoMatsu/冈田将生,告白,没有一人完全善，也没有一人完全恶。,8.7,368600人
